Time,Respiration
31.5625,-1.53961181640625
31.563,-1.53472900390625
31.5635,-1.52984619140625
31.564,-1.52496337890625
31.5645,-1.52008056640625
31.565,-1.51519775390625
31.5655,-1.510009765625
31.566,-1.505126953125
31.5665,-1.49993896484375
31.567,-1.49505615234375
31.5675,-1.4898681640625
31.568,-1.4849853515625
31.5685,-1.47979736328125
31.569,-1.474609375
31.5695,-1.4697265625
31.57,-1.46453857421875
31.5705,-1.4593505859375
31.571,-1.45416259765625
31.5715,-1.448974609375
31.572,-1.444091796875
31.5725,-1.43890380859375
31.573,-1.4337158203125
31.5735,-1.42852783203125
31.574,-1.42303466796875
31.5745,-1.4178466796875
31.575,-1.41265869140625
31.5755,-1.407470703125
31.576,-1.4019775390625
31.5765,-1.39678955078125
31.577,-1.39129638671875
31.5775,-1.3861083984375
31.578,-1.380615234375
31.5785,-1.3751220703125
31.579,-1.36962890625
31.5795,-1.3641357421875
31.58,-1.358642578125
31.5805,-1.3531494140625
31.581,-1.34765625
31.5815,-1.3421630859375
31.582,-1.33636474609375
31.5825,-1.33087158203125
31.583,-1.3250732421875
31.5835,-1.319580078125
31.584,-1.31378173828125
31.5845,-1.3079833984375
31.585,-1.30218505859375
31.5855,-1.29638671875
31.586,-1.29058837890625
31.5865,-1.2847900390625
31.587,-1.27899169921875
31.5875,-1.27288818359375
31.588,-1.26708984375
31.5885,-1.260986328125
31.589,-1.25518798828125
31.5895,-1.24908447265625
31.59,-1.24298095703125
31.5905,-1.2371826171875
31.591,-1.2310791015625
31.5915,-1.2249755859375
31.592,-1.2188720703125
31.5925,-1.2127685546875
31.593,-1.2066650390625
31.5935,-1.2005615234375
31.594,-1.19476318359375
31.5945,-1.18865966796875
31.595,-1.18255615234375
31.5955,-1.1767578125
31.596,-1.170654296875
31.5965,-1.16455078125
31.597,-1.15875244140625
31.5975,-1.1529541015625
31.598,-1.1468505859375
31.5985,-1.14105224609375
31.599,-1.13525390625
31.5995,-1.12945556640625
31.6,-1.12396240234375
31.6005,-1.1181640625
31.601,-1.1126708984375
31.6015,-1.10687255859375
31.602,-1.10137939453125
31.6025,-1.09588623046875
31.603,-1.09039306640625
31.6035,-1.08489990234375
31.604,-1.0797119140625
31.6045,-1.07421875
31.605,-1.06903076171875
31.6055,-1.0638427734375
31.606,-1.05865478515625
31.6065,-1.053466796875
31.607,-1.04827880859375
31.6075,-1.0430908203125
31.608,-1.03790283203125
31.6085,-1.03271484375
31.609,-1.02783203125
31.6095,-1.02264404296875
31.61,-1.01776123046875
31.6105,-1.01287841796875
31.611,-1.00799560546875
31.6115,-1.0028076171875
31.612,-0.9979248046875
31.6125,-0.9930419921875
31.613,-0.98846435546875
31.6135,-0.98358154296875
31.614,-0.97869873046875
31.6145,-0.97381591796875
31.615,-0.96923828125
31.6155,-0.96435546875
31.616,-0.95977783203125
31.6165,-0.95489501953125
31.617,-0.9503173828125
31.6175,-0.94573974609375
31.618,-0.941162109375
31.6185,-0.936279296875
31.619,-0.93170166015625
31.6195,-0.9271240234375
31.62,-0.92254638671875
31.6205,-0.91796875
31.621,-0.91339111328125
31.6215,-0.9088134765625
31.622,-0.90423583984375
31.6225,-0.899658203125
31.623,-0.89508056640625
31.6235,-0.8905029296875
31.624,-0.88623046875
31.6245,-0.88165283203125
31.625,-0.8770751953125
31.6255,-0.87249755859375
31.626,-0.867919921875
31.6265,-0.86334228515625
31.627,-0.8587646484375
31.6275,-0.8544921875
31.628,-0.84991455078125
31.6285,-0.8453369140625
31.629,-0.84075927734375
31.6295,-0.836181640625
31.63,-0.8319091796875
31.6305,-0.82733154296875
31.631,-0.82275390625
31.6315,-0.81817626953125
31.632,-0.8135986328125
31.6325,-0.80902099609375
31.633,-0.80413818359375
31.6335,-0.799560546875
31.634,-0.794677734375
31.6345,-0.789794921875
31.635,-0.78521728515625
31.6355,-0.78033447265625
31.636,-0.775146484375
31.6365,-0.770263671875
31.637,-0.76507568359375
31.6375,-0.76019287109375
31.638,-0.7550048828125
31.6385,-0.74981689453125
31.639,-0.74432373046875
31.6395,-0.7391357421875
31.64,-0.733642578125
31.6405,-0.72845458984375
31.641,-0.72296142578125
31.6415,-0.71746826171875
31.642,-0.71197509765625
31.6425,-0.7061767578125
31.643,-0.70068359375
31.6435,-0.6951904296875
31.644,-0.68939208984375
31.6445,-0.68359375
31.645,-0.6781005859375
