Time,Respiration
0.0005,-0.54473876953125
0.001,-0.546875
0.0015,-0.54901123046875
0.002,-0.55084228515625
0.0025,-0.552978515625
0.003,-0.55511474609375
0.0035,-0.5572509765625
0.004,-0.55938720703125
0.0045,-0.5615234375
0.005,-0.5633544921875
0.0055,-0.56549072265625
0.006,-0.567626953125
0.0065,-0.56976318359375
0.007,-0.57159423828125
0.0075,-0.57373046875
0.008,-0.5755615234375
0.0085,-0.57769775390625
0.009,-0.579833984375
0.0095,-0.5816650390625
0.01,-0.58380126953125
0.0105,-0.5859375
0.011,-0.5877685546875
0.0115,-0.58990478515625
0.012,-0.592041015625
0.0125,-0.5938720703125
0.013,-0.59600830078125
0.0135,-0.59814453125
0.014,-0.60028076171875
0.0145,-0.6024169921875
0.015,-0.60455322265625
0.0155,-0.606689453125
0.016,-0.60882568359375
0.0165,-0.6109619140625
0.017,-0.61309814453125
0.0175,-0.615234375
0.018,-0.61737060546875
0.0185,-0.6195068359375
0.019,-0.6219482421875
0.0195,-0.62408447265625
0.02,-0.626220703125
0.0205,-0.628662109375
0.021,-0.63079833984375
0.0215,-0.63323974609375
0.022,-0.63568115234375
0.0225,-0.63812255859375
0.023,-0.6402587890625
0.0235,-0.6427001953125
0.024,-0.6451416015625
0.0245,-0.6475830078125
0.025,-0.6500244140625
0.0255,-0.65277099609375
0.026,-0.65521240234375
0.0265,-0.65765380859375
0.027,-0.66009521484375
0.0275,-0.662841796875
0.028,-0.665283203125
0.0285,-0.66802978515625
0.029,-0.67047119140625
0.0295,-0.6732177734375
0.03,-0.6756591796875
0.0305,-0.67840576171875
0.031,-0.68115234375
0.0315,-0.68389892578125
0.032,-0.68634033203125
0.0325,-0.6890869140625
0.033,-0.69183349609375
0.0335,-0.694580078125
0.034,-0.69732666015625
0.0345,-0.70037841796875
0.035,-0.703125
0.0355,-0.70587158203125
0.036,-0.7086181640625
0.0365,-0.711669921875
0.037,-0.71441650390625
0.0375,-0.7171630859375
0.038,-0.72021484375
0.0385,-0.72296142578125
0.039,-0.72601318359375
0.0395,-0.728759765625
0.04,-0.7318115234375
0.0405,-0.73486328125
0.041,-0.73760986328125
0.0415,-0.74066162109375
0.042,-0.74371337890625
0.0425,-0.7464599609375
0.043,-0.74951171875
0.0435,-0.7525634765625
0.044,-0.755615234375
0.0445,-0.75836181640625
0.045,-0.76141357421875
0.0455,-0.76446533203125
0.046,-0.76751708984375
0.0465,-0.770263671875
0.047,-0.7733154296875
0.0475,-0.7763671875
0.048,-0.77911376953125
0.0485,-0.78216552734375
0.049,-0.78521728515625
0.0495,-0.7879638671875
0.05,-0.791015625
0.0505,-0.7940673828125
0.051,-0.79681396484375
0.0515,-0.79986572265625
0.052,-0.8026123046875
0.0525,-0.8056640625
0.053,-0.8087158203125
0.0535,-0.81146240234375
0.054,-0.81451416015625
0.0545,-0.8172607421875
0.055,-0.82000732421875
0.0555,-0.82305908203125
0.056,-0.8258056640625
0.0565,-0.828857421875
0.057,-0.83160400390625
0.0575,-0.8343505859375
0.058,-0.83709716796875
0.0585,-0.84014892578125
0.059,-0.8428955078125
0.0595,-0.84564208984375
0.06,-0.848388671875
0.0605,-0.85113525390625
0.061,-0.8538818359375
0.0615,-0.85662841796875
0.062,-0.859375
0.0625,-0.86212158203125
0.063,-0.8648681640625
0.0635,-0.86761474609375
0.064,-0.870361328125
0.0645,-0.87310791015625
0.065,-0.87554931640625
0.0655,-0.8782958984375
0.066,-0.88104248046875
0.0665,-0.8837890625
0.067,-0.88623046875
0.0675,-0.88897705078125
0.068,-0.8917236328125
0.0685,-0.8941650390625
0.069,-0.89691162109375
0.0695,-0.89935302734375
0.07,-0.902099609375
0.0705,-0.904541015625
0.071,-0.90728759765625
0.0715,-0.90972900390625
0.072,-0.9124755859375
0.0725,-0.9149169921875
0.073,-0.9173583984375
